given_name,family_name,eid,orcid,citation_count,document_count,name_variants,docs,coauthors_count
Atif,Ahmad,9-s2.0-16318491100,,838,63,"[Variant(indexed_name='Ahmad A.', initials='A.', surname='Ahmad', given_name='A.', doc_count='2')]","2-s2.0-85074605857,2-s2.0-85089048387,2-s2.0-85087106510,2-s2.0-85072576558,2-s2.0-85086023740,2-s2.0-85068939563,2-s2.0-85052832316,2-s2.0-85062510010,2-s2.0-85061314708,2-s2.0-85041711649,2-s2.0-85041729971,2-s2.0-85091089367,2-s2.0-85088923188,2-s2.0-85035326824,2-s2.0-85090582071,2-s2.0-85061313377,2-s2.0-85058046642,2-s2.0-85029222940,2-s2.0-84957841635,2-s2.0-85060831527,2-s2.0-85052755394,2-s2.0-84995743882,2-s2.0-85058057787,2-s2.0-85041713877,2-s2.0-84990861885,2-s2.0-84940645746,2-s2.0-84929089555,2-s2.0-85054395253,2-s2.0-85044071773,2-s2.0-85049589391,2-s2.0-85041732057,2-s2.0-84964687577,2-s2.0-84893760018,2-s2.0-84915794783,2-s2.0-84917674297,2-s2.0-84917673059,2-s2.0-84896400561,2-s2.0-84959468015,2-s2.0-84930619910,2-s2.0-84902248160,2-s2.0-84900844255,2-s2.0-84928492230,2-s2.0-84923885047,2-s2.0-84898347739,2-s2.0-84862303039,2-s2.0-84255198249,2-s2.0-84869113234,2-s2.0-84869109416,2-s2.0-84862942240,2-s2.0-79955934365,2-s2.0-84864557861,2-s2.0-84870387706,2-s2.0-84864567494,2-s2.0-84864546078,2-s2.0-79953181237,2-s2.0-84862938476,2-s2.0-77954451450,2-s2.0-84855403836,2-s2.0-84869122840,2-s2.0-84864552045,2-s2.0-84857001890,2-s2.0-84864560732,2-s2.0-34249279137",42
Uwe,Aickelin,9-s2.0-11339382200,0000-0002-2679-2275,3464,180,"[Variant(indexed_name='Aickelin U.', initials='U.', surname='Aickelin', given_name='U.', doc_count='7'), Variant(indexed_name='Aickelin C.', initials='C.', surname='Aickelin', given_name='C.', doc_count='1')]","2-s2.0-85088323723,2-s2.0-85090504078,2-s2.0-85092055831,2-s2.0-85090416089,2-s2.0-85089193010,2-s2.0-85063057800,2-s2.0-85070945443,2-s2.0-85071332644,2-s2.0-85062058668,2-s2.0-85077760329,2-s2.0-85046848193,2-s2.0-85046076397,2-s2.0-85062923465,2-s2.0-85040248184,2-s2.0-85046271195,2-s2.0-85030156778,2-s2.0-85022324620,2-s2.0-85016006258,2-s2.0-85032468203,2-s2.0-85006812890,2-s2.0-84983651730,2-s2.0-84959341749,2-s2.0-84951049112,2-s2.0-84964661086,2-s2.0-84969206725,2-s2.0-84962868866,2-s2.0-84926676311,2-s2.0-84936860700,2-s2.0-84936884293,2-s2.0-84936873973,2-s2.0-84936855600,2-s2.0-84964937658,2-s2.0-84964296808,2-s2.0-84944128218,2-s2.0-84938571741,2-s2.0-84944080834,2-s2.0-84899698891,2-s2.0-84956560605,2-s2.0-84912559098,2-s2.0-84908565812,2-s2.0-84908494285,2-s2.0-84958545532,2-s2.0-84912520776,2-s2.0-84909943781,2-s2.0-84908472943,2-s2.0-84896468151,2-s2.0-84896067928,2-s2.0-84891126251,2-s2.0-84889030338,2-s2.0-84888036811,2-s2.0-84887851563,2-s2.0-84887831057,2-s2.0-84886837438,2-s2.0-84884195617,2-s2.0-84873417184,2-s2.0-84870061139,2-s2.0-84897105240,2-s2.0-84870344929,2-s2.0-84886447671,2-s2.0-84876496926,2-s2.0-84874607409,2-s2.0-84873400071,2-s2.0-84873154010,2-s2.0-84872367359,2-s2.0-84872376470,2-s2.0-84868334146,2-s2.0-84949179959,2-s2.0-84867596157,2-s2.0-84866369900,2-s2.0-84862266591,2-s2.0-84864222143,2-s2.0-84859162418,2-s2.0-84911490400,2-s2.0-85088724063,2-s2.0-84911490860,2-s2.0-84858008755,2-s2.0-85055380868,2-s2.0-84872515235,2-s2.0-80053056017,2-s2.0-79960381859,2-s2.0-79960352474,2-s2.0-79960380811,2-s2.0-84892084198,2-s2.0-84869812679,2-s2.0-79953885162,2-s2.0-78650313259,2-s2.0-85087396349,2-s2.0-85076284585,2-s2.0-80054816794,2-s2.0-78650323322,2-s2.0-84898776134,2-s2.0-84856999193,2-s2.0-84908489832,2-s2.0-79958023635,2-s2.0-78751492330,2-s2.0-77957606210,2-s2.0-77955903320,2-s2.0-77955899133,2-s2.0-77955398952,2-s2.0-77954692735,2-s2.0-77954598748,2-s2.0-77954337293,2-s2.0-78650179668,2-s2.0-77649235132,2-s2.0-77952113814,2-s2.0-68349158957,2-s2.0-84876242328,2-s2.0-68349160839,2-s2.0-84920395808,2-s2.0-74249097276,2-s2.0-73349087782,2-s2.0-72749098129,2-s2.0-72749094964,2-s2.0-76249116634,2-s2.0-84874124018,2-s2.0-84870028646,2-s2.0-84876409839,2-s2.0-70350335366,2-s2.0-68749084703,2-s2.0-58149380301,2-s2.0-84867248358,2-s2.0-67349180578,2-s2.0-84920487293,2-s2.0-84898341746,2-s2.0-84871029340,2-s2.0-58449084939,2-s2.0-77955898429,2-s2.0-55849142619,2-s2.0-55749109008,2-s2.0-51049120109,2-s2.0-51049115785,2-s2.0-51049112075,2-s2.0-49049090605,2-s2.0-72149085209,2-s2.0-72149105067,2-s2.0-55849125089,2-s2.0-38749140642,2-s2.0-36749081002,2-s2.0-36749039208,2-s2.0-78650563161,2-s2.0-49749141621,2-s2.0-35449005874,2-s2.0-34548254543,2-s2.0-34548084364,2-s2.0-33846267661,2-s2.0-38149072326,2-s2.0-38549142707,2-s2.0-38149016866,2-s2.0-37049036011,2-s2.0-35548991809,2-s2.0-84919839697,2-s2.0-38349072232,2-s2.0-38149058219,2-s2.0-84858429275,2-s2.0-84858412090,2-s2.0-84858387272,2-s2.0-70350711453,2-s2.0-67649893506,2-s2.0-34547268613,2-s2.0-30644478743,2-s2.0-34547278626,2-s2.0-33751021682,2-s2.0-33751021681,2-s2.0-33751020563,2-s2.0-33750257305,2-s2.0-84892136776,2-s2.0-21244440685,2-s2.0-26944450016,2-s2.0-26944469543,2-s2.0-26944468992,2-s2.0-4043060936,2-s2.0-35048873285,2-s2.0-0942291224,2-s2.0-33751017631,2-s2.0-84901408818,2-s2.0-35248825128,2-s2.0-0036723174,2-s2.0-0036792139,2-s2.0-84901472155,2-s2.0-0000684545",146
Lachlan L.H.,Andrew,9-s2.0-7005545530,,3050,135,"[Variant(indexed_name='Andrew L.', initials='L.', surname='Andrew', given_name='L.', doc_count='3'), Variant(indexed_name='Andrew L.', initials='L.', surname='Andrew', given_name='Lachlan', doc_count='10')]","2-s2.0-85088517782,2-s2.0-85072933743,2-s2.0-85072332624,2-s2.0-85061544841,2-s2.0-85056824333,2-s2.0-85016000342,2-s2.0-85051969893,2-s2.0-85029810700,2-s2.0-84962449239,2-s2.0-84947487811,2-s2.0-84955578564,2-s2.0-85027927980,2-s2.0-84907187852,2-s2.0-84902860109,2-s2.0-84904480158,2-s2.0-84904480139,2-s2.0-84910139686,2-s2.0-84893198013,2-s2.0-84884955762,2-s2.0-84883151296,2-s2.0-84881276955,2-s2.0-84880243031,2-s2.0-84877758068,2-s2.0-84898047828,2-s2.0-84898810805,2-s2.0-84898035597,2-s2.0-84887058866,2-s2.0-84898021789,2-s2.0-84870919694,2-s2.0-84867581723,2-s2.0-84869442992,2-s2.0-84872721229,2-s2.0-84866634905,2-s2.0-84859922161,2-s2.0-84857760457,2-s2.0-84856195839,2-s2.0-84856170113,2-s2.0-84883476470,2-s2.0-84964725616,2-s2.0-83655180799,2-s2.0-84964744594,2-s2.0-84856140373,2-s2.0-79961028861,2-s2.0-79960162863,2-s2.0-84856084475,2-s2.0-79955577602,2-s2.0-79951803622,2-s2.0-78049351389,2-s2.0-77958153771,2-s2.0-77955047235,2-s2.0-77954950111,2-s2.0-77954478926,2-s2.0-77953312128,2-s2.0-77952084796,2-s2.0-76849088431,2-s2.0-77955627313,2-s2.0-77950843237,2-s2.0-72449205450,2-s2.0-77949631235,2-s2.0-77955333211,2-s2.0-70349673283,2-s2.0-70349656427,2-s2.0-70349656217,2-s2.0-70350393597,2-s2.0-63449139229,2-s2.0-77953295118,2-s2.0-64549105756,2-s2.0-64549145868,2-s2.0-42749094166,2-s2.0-63049086756,2-s2.0-51849162996,2-s2.0-51849137542,2-s2.0-51349135872,2-s2.0-51349110951,2-s2.0-51249094911,2-s2.0-49649121960,2-s2.0-37549021943,2-s2.0-50249177163,2-s2.0-34548335301,2-s2.0-84940646847,2-s2.0-48749106356,2-s2.0-46949091097,2-s2.0-42549143699,2-s2.0-33744475361,2-s2.0-33947665582,2-s2.0-84940661466,2-s2.0-84940664295,2-s2.0-51049089206,2-s2.0-32444435972,2-s2.0-32444432915,2-s2.0-33947107093,2-s2.0-33947182102,2-s2.0-25844522798,2-s2.0-21444432384,2-s2.0-17144381595,2-s2.0-84946761913,2-s2.0-34249321226,2-s2.0-34249292605,2-s2.0-18144379489,2-s2.0-6944230904,2-s2.0-4644362832,2-s2.0-34748921748,2-s2.0-51049093331,2-s2.0-0842310771,2-s2.0-0348013288,2-s2.0-1642564617,2-s2.0-0242364198,2-s2.0-33646409557,2-s2.0-84954446541,2-s2.0-84945919003,2-s2.0-0036967007,2-s2.0-0348224539,2-s2.0-0035696836,2-s2.0-0034858620,2-s2.0-0033295835,2-s2.0-0032631692,2-s2.0-79952180063,2-s2.0-84890481888,2-s2.0-33645243347,2-s2.0-0033317979,2-s2.0-0032654599,2-s2.0-0842266306,2-s2.0-0032268589,2-s2.0-0032263804,2-s2.0-0032285378,2-s2.0-0031345495,2-s2.0-0031236107,2-s2.0-0031236477,2-s2.0-0031096147,2-s2.0-0030130089,2-s2.0-0029732397,2-s2.0-0030128806,2-s2.0-0029487337,2-s2.0-0028737246,2-s2.0-0028728069",208
Abel,Armas-Cervantes,9-s2.0-54580539300,0000-0003-0628-2451,166,19,"[Variant(indexed_name='Armas-Cervantes A.', initials='A.', surname='Armas-Cervantes', given_name='A.', doc_count='1'), Variant(indexed_name='Armas Cervantes A.', initials='A.', surname='Armas Cervantes', given_name='Abel', doc_count='1')]","2-s2.0-85089077086,2-s2.0-85076407491,2-s2.0-85061201957,2-s2.0-85048373149,2-s2.0-85053638640,2-s2.0-85053593441,2-s2.0-85030106341,2-s2.0-85032684469,2-s2.0-85032666523,2-s2.0-85030096940,2-s2.0-85021646606,2-s2.0-84949603878,2-s2.0-84968586360,2-s2.0-84964796077,2-s2.0-85030121869,2-s2.0-84915753497,2-s2.0-84906736749,2-s2.0-84883425103,2-s2.0-83055179346",22
Adriano,Augusto,9-s2.0-57192104852,0000-0001-7970-5246,142,11,,"2-s2.0-85092651207,2-s2.0-85091269974,2-s2.0-85046897364,2-s2.0-85047825679,2-s2.0-85072867353,2-s2.0-85072882426,2-s2.0-85046119843,2-s2.0-85053593441,2-s2.0-85043982383,2-s2.0-85032729690,2-s2.0-84997427866",15
Stephen G.,Baker,9-s2.0-57203188765,,12710,298,"[Variant(indexed_name='Baker S.', initials='S.G.', surname='Baker', given_name='S. G.', doc_count='1'), Variant(indexed_name='Baker S.', initials='S.', surname='Baker', given_name='Steven', doc_count='1'), Variant(indexed_name='Baker S.', initials='S.', surname='Baker', given_name='Stephen', doc_count='278'), Variant(indexed_name='Baker S.', initials='S.', surname='Baker', given_name='S.', doc_count='16')]","2-s2.0-85088541266,2-s2.0-85090947808,2-s2.0-85090204250,2-s2.0-85090712527,2-s2.0-85090182290,2-s2.0-85076600593,2-s2.0-85088851874,2-s2.0-85088879559,2-s2.0-85088880600,2-s2.0-85087474130,2-s2.0-85088447015,2-s2.0-85087961401,2-s2.0-85087965110,2-s2.0-85085508476,2-s2.0-85085941159,2-s2.0-85079748981,2-s2.0-85076608874,2-s2.0-85082148173,2-s2.0-85078294175,2-s2.0-85078055222,2-s2.0-85078036950,2-s2.0-85077382746,2-s2.0-85092608110,2-s2.0-85084143159,2-s2.0-85088240350,2-s2.0-85068851809,2-s2.0-85089295953,2-s2.0-85075965583,2-s2.0-85078234394,2-s2.0-85075207085,2-s2.0-85065201177,2-s2.0-85074095597,2-s2.0-85075521027,2-s2.0-85074390283,2-s2.0-85074323796,2-s2.0-85074358917,2-s2.0-85074341696,2-s2.0-85074370118,2-s2.0-85074359178,2-s2.0-85074328548,2-s2.0-85074337131,2-s2.0-85078481377,2-s2.0-85073179024,2-s2.0-85071372299,2-s2.0-85069914414,2-s2.0-85070789961,2-s2.0-85070788775,2-s2.0-85068903346,2-s2.0-85063659656,2-s2.0-85068975668,2-s2.0-85062953335,2-s2.0-85064518158,2-s2.0-85062842786,2-s2.0-85062389684,2-s2.0-85059224832,2-s2.0-85062033586,2-s2.0-85060375018,2-s2.0-85059799063,2-s2.0-85076090736,2-s2.0-85059232033,2-s2.0-85057585158,2-s2.0-85056323325,2-s2.0-85055136135,2-s2.0-85054063435,2-s2.0-85054967428,2-s2.0-85053148962,2-s2.0-85055432837,2-s2.0-85048729839,2-s2.0-85049718615,2-s2.0-85053054218,2-s2.0-85044536846,2-s2.0-85042781508,2-s2.0-85045944781,2-s2.0-85040943754,2-s2.0-85020454386,2-s2.0-85018661369,2-s2.0-85040806993,2-s2.0-85028526798,2-s2.0-85036664890,2-s2.0-85053851042,2-s2.0-85054889452,2-s2.0-85041700199,2-s2.0-85062683545,2-s2.0-85052176847,2-s2.0-85051614865,2-s2.0-85043501598,2-s2.0-85091361852,2-s2.0-85055081669,2-s2.0-85076174483,2-s2.0-85038907406,2-s2.0-85056742949,2-s2.0-85037607033,2-s2.0-85037356396,2-s2.0-85025453601,2-s2.0-85036606101,2-s2.0-85028036116,2-s2.0-85033393953,2-s2.0-85032305545,2-s2.0-85031500637,2-s2.0-85030671169,2-s2.0-85025469065,2-s2.0-85029747608,2-s2.0-85044579442,2-s2.0-85029890079,2-s2.0-85020014428,2-s2.0-85026778269,2-s2.0-85021629706,2-s2.0-85021725479,2-s2.0-85019642607,2-s2.0-85020428504,2-s2.0-85018540657,2-s2.0-85018505427,2-s2.0-85011850222,2-s2.0-85016195075,2-s2.0-85013158245,2-s2.0-85013156348,2-s2.0-85015408271,2-s2.0-85012894590,2-s2.0-85014387911,2-s2.0-85027300133,2-s2.0-85021309063,2-s2.0-85039159911,2-s2.0-85042688992,2-s2.0-85045519260,2-s2.0-84992058852,2-s2.0-84992386056,2-s2.0-84994420285,2-s2.0-84988690959,2-s2.0-84982221188,2-s2.0-84988969285,2-s2.0-84982980463,2-s2.0-84975775542,2-s2.0-84978137309,2-s2.0-84955242501,2-s2.0-84964809567,2-s2.0-84962555441,2-s2.0-84959906306,2-s2.0-84959898878,2-s2.0-84959865626,2-s2.0-84959890932,2-s2.0-84959879894,2-s2.0-84959922952,2-s2.0-84959888226,2-s2.0-84959871745,2-s2.0-84959925362,2-s2.0-84961050701,2-s2.0-84962311428,2-s2.0-85056053366,2-s2.0-84960813358,2-s2.0-84959569222,2-s2.0-84958764901,2-s2.0-84959162324,2-s2.0-84957108314,2-s2.0-84993970537,2-s2.0-85041758126,2-s2.0-84976449753,2-s2.0-85034654212,2-s2.0-85007470677,2-s2.0-84991011519,2-s2.0-85009968313,2-s2.0-85010762671,2-s2.0-84949579880,2-s2.0-84953365961,2-s2.0-84946118382,2-s2.0-84959318861,2-s2.0-84944720332,2-s2.0-84941040596,2-s2.0-84942104109,2-s2.0-84941299795,2-s2.0-84940178716,2-s2.0-84937728010,2-s2.0-84936803320,2-s2.0-84935850913,2-s2.0-84934776957,2-s2.0-84928313388,2-s2.0-84930064392,2-s2.0-84929223564,2-s2.0-84928341969,2-s2.0-84928923121,2-s2.0-84926313074,2-s2.0-84926365274,2-s2.0-84924389146,2-s2.0-84929838068,2-s2.0-84946922883,2-s2.0-84941600944,2-s2.0-84941245487,2-s2.0-84931330011,2-s2.0-84921341787,2-s2.0-84944036453,2-s2.0-84921949472,2-s2.0-84927578188,2-s2.0-84964698033,2-s2.0-84920842313,2-s2.0-84926992058,2-s2.0-84907285639,2-s2.0-84904015319,2-s2.0-84898428016,2-s2.0-84894067108,2-s2.0-84893666370,2-s2.0-84907518951,2-s2.0-84897013953,2-s2.0-84893715442,2-s2.0-84906969109,2-s2.0-84890939025,2-s2.0-84898411558,2-s2.0-85019612789,2-s2.0-84901448483,2-s2.0-84896762259,2-s2.0-84901008764,2-s2.0-84892681513,2-s2.0-84924294807,2-s2.0-84908894602,2-s2.0-84890417237,2-s2.0-84886379482,2-s2.0-84882765693,2-s2.0-84880305870,2-s2.0-84877984072,2-s2.0-84875765407,2-s2.0-84873438754,2-s2.0-84871820432,2-s2.0-84890523384,2-s2.0-84872741411,2-s2.0-84887989403,2-s2.0-84871681455,2-s2.0-84883410499,2-s2.0-84872087213,2-s2.0-84930476409,2-s2.0-84880389287,2-s2.0-84887277062,2-s2.0-84879509108,2-s2.0-84877118112,2-s2.0-84883360014,2-s2.0-84871790064,2-s2.0-84879595368,2-s2.0-84867527610,2-s2.0-84865288527,2-s2.0-84856374321,2-s2.0-84860149893,2-s2.0-84857951289,2-s2.0-83155160999,2-s2.0-84869865604,2-s2.0-84868103431,2-s2.0-84865683817,2-s2.0-80055006741,2-s2.0-79952280202,2-s2.0-79251544864,2-s2.0-78650875689,2-s2.0-79959711608,2-s2.0-79956287183,2-s2.0-79953170912,2-s2.0-80053920339,2-s2.0-79951480881,2-s2.0-79851504748,2-s2.0-84856578549,2-s2.0-79960962207,2-s2.0-79956290576,2-s2.0-80052394246,2-s2.0-77954325313,2-s2.0-77952757215,2-s2.0-77952459347,2-s2.0-77950838513,2-s2.0-77957822719,2-s2.0-77955025447,2-s2.0-78149246500,2-s2.0-78649739204,2-s2.0-78649672794,2-s2.0-74049106610,2-s2.0-65349141871,2-s2.0-60149102444,2-s2.0-66149141808,2-s2.0-73449141468,2-s2.0-51149114355,2-s2.0-73349138287,2-s2.0-44349189279,2-s2.0-55849107323,2-s2.0-41549087078,2-s2.0-48349124258,2-s2.0-43249093476,2-s2.0-36148968414,2-s2.0-34447126310,2-s2.0-34249747813,2-s2.0-33751558792,2-s2.0-33745550745,2-s2.0-28444474563,2-s2.0-14944369755,2-s2.0-20144380540,2-s2.0-2342538999,2-s2.0-10744224321,2-s2.0-0042890479,2-s2.0-0042355274,2-s2.0-0037413620,2-s2.0-0037224655,2-s2.0-0037015625,2-s2.0-0037148758,2-s2.0-0035950154,2-s2.0-0035807385,2-s2.0-0035060651,2-s2.0-0035088776",2091
